80000,6114
880000,5446
1680000,6317
2480000,6592
3280000,6689
4080000,6213
4880000,6062
5680000,6424
6480000,6176
7280000,6128
8080000,8743
8880000,8819
9680000,8529
10480000,8337
11280000,8336
12080000,8440
12880000,8713
13680000,8739
14480000,8761
15280000,8366
16080000,12693
80000,5719
880000,4936
1680000,4978
2480000,5341
3280000,5479
4080000,6454
4880000,6263
5680000,6662
6480000,6483
7280000,6333
8080000,8960
8880000,8953
9680000,9070
10480000,8824
11280000,8672
12080000,8554
12880000,8973
13680000,9346
14480000,9221
15280000,8626
16080000,14618
80000,5962
880000,4712
1680000,4852
2480000,5274
3280000,5173
4080000,6184
4880000,6594
5680000,6189
6480000,6368
7280000,6555
8080000,8464
8880000,8411
9680000,8590
10480000,8654
11280000,8765
12080000,8634
12880000,8164
13680000,8233
14480000,8331
15280000,8436
16080000,14811
80000,5360
880000,4741
1680000,4897
2480000,5454
3280000,5307
4080000,6386
4880000,6474
5680000,6181
6480000,6419
7280000,6501
8080000,8876
8880000,8730
9680000,8696
10480000,9107
11280000,9191
12080000,8861
12880000,8844
13680000,8879
14480000,8759
15280000,8863
16080000,14253
80000,5237
880000,4627
1680000,4613
2480000,5235
3280000,5110
4080000,6360
4880000,6254
5680000,5960
6480000,6506
7280000,6121
8080000,8407
8880000,8564
9680000,8851
10480000,8711
11280000,8682
12080000,8721
12880000,8743
13680000,8598
14480000,9257
15280000,8953
16080000,14874
80000,5456
880000,4959
1680000,4806
2480000,5335
3280000,5157
4080000,6302
4880000,6127
5680000,6401
6480000,6528
7280000,6124
8080000,8744
8880000,8707
9680000,8752
10480000,8517
11280000,8554
12080000,8313
12880000,8765
13680000,8732
14480000,8483
15280000,8383
16080000,14404
